step_index,rho_q25,rho_median,rho_q75,pollution_q25,pollution_median,pollution_q75,d_g_q25,d_g_median,d_g_q75,d_z_q25,d_z_median,d_z_q75,target_g_q25,target_g_median,target_g_q75,target_z_q25,target_z_median,target_z_q75,cap_q25,cap_median,cap_q75
0,0.550000011920929,0.550000011920929,0.550000011920929,0.550000011920929,0.550000011920929,0.550000011920929,0.18299392983317375,0.23137983679771423,0.2885977178812027,0.1844073086977005,0.23178516328334808,0.2959302291274071,0.28364459015429017,0.28364459015429017,0.28364459015429017,0.2787268046289682,0.2787268046289682,0.2787268046289682,1.0,1.0,1.0
1,0.5486030280590057,0.5647408962249756,0.5783877223730087,0.5486030280590057,0.5647408962249756,0.5783877223730087,0.20643394067883492,0.2589113116264343,0.3175482526421547,0.2030307948589325,0.25627368688583374,0.32473352551460266,0.31361933946609494,0.31361933946609494,0.31361933946609494,0.3149073578417301,0.3149073578417301,0.3149073578417301,1.0,1.0,1.0
2,0.5474013686180115,0.5782055258750916,0.6058213859796524,0.5474013686180115,0.5782055258750916,0.6058213859796524,0.24350271746516228,0.30017973482608795,0.35537561029195786,0.22969994321465492,0.2955843210220337,0.3615902438759804,0.3542034424841404,0.3542034424841404,0.3542034424841404,0.35213705748319624,0.35213705748319624,0.35213705748319624,1.0,1.0,1.0
3,0.5477581769227982,0.5910823345184326,0.6297920942306519,0.5477581769227982,0.5910823345184326,0.6297920942306519,0.2887418866157532,0.34460076689720154,0.39184122532606125,0.2629813328385353,0.33009669184684753,0.3877386152744293,0.40185104012489314,0.40185104012489314,0.40185104012489314,0.38464689627289766,0.38464689627289766,0.38464689627289766,1.0,1.0,1.0
4,0.5513411611318588,0.6039941012859344,0.6502805054187775,0.5513411611318588,0.6039941012859344,0.6502805054187775,0.3362107574939728,0.38416217267513275,0.4260977953672409,0.2940860614180565,0.3575138449668884,0.4042258784174919,0.44208458513021465,0.44208458513021465,0.44208458513021465,0.4018191665410995,0.4018191665410995,0.4018191665410995,1.0,1.0,1.0
5,0.5537313371896744,0.6143662333488464,0.6698337346315384,0.5514712184667587,0.6118586361408234,0.6670997440814972,0.38077859580516815,0.41779664158821106,0.4453817829489708,0.3189076632261276,0.37510330975055695,0.4146663695573807,0.46851405799388884,0.46851405799388884,0.46851405799388884,0.4202777929604053,0.4202777929604053,0.4202777929604053,0.9959183673469387,0.9959183673469387,0.9959183673469387
6,0.5602206885814667,0.6239757239818573,0.6851128786802292,0.5350679159164429,0.5959604680538177,0.6543526947498322,0.4104161337018013,0.4413340389728546,0.4611398056149483,0.33817294239997864,0.38667522370815277,0.42365017533302307,0.5022832632064819,0.5022832632064819,0.5022832632064819,0.43472917303442954,0.43472917303442954,0.43472917303442954,0.9551020408163264,0.9551020408163264,0.9551020408163264
7,0.5679107755422592,0.6339184939861298,0.7004124522209167,0.5192327350378036,0.5795826315879822,0.6403771042823792,0.4321257695555687,0.45589078962802887,0.47133057564496994,0.34732313454151154,0.3921474665403366,0.4288492873311043,0.5167223393917083,0.5167223393917083,0.5167223393917083,0.444299679249525,0.444299679249525,0.444299679249525,0.9142857142857143,0.9142857142857143,0.9142857142857143
8,0.5768927931785583,0.6441701650619507,0.7130437344312668,0.5038982033729553,0.5626629292964935,0.6228219121694565,0.44609252363443375,0.4664955288171768,0.47901686280965805,0.35245735943317413,0.39965900778770447,0.43150993436574936,0.5278369151055813,0.5278369151055813,0.5278369151055813,0.44760937392711636,0.44760937392711636,0.44760937392711636,0.8734693877551021,0.8734693877551021,0.8734693877551021
9,0.5841763466596603,0.6547437608242035,0.7229616940021515,0.486416220664978,0.5451743900775909,0.6019762754440308,0.45700566470623016,0.47421807050704956,0.4852931275963783,0.35976798087358475,0.40204645693302155,0.43518760055303574,0.5392880998551846,0.5392880998551846,0.5392880998551846,0.45276424065232274,0.45276424065232274,0.45276424065232274,0.8326530612244898,0.8326530612244898,0.8326530612244898
10,0.5936155766248703,0.6648149490356445,0.735110267996788,0.47004662454128265,0.526424914598465,0.5820873081684113,0.4641597718000412,0.47874215245246887,0.48970022797584534,0.36361901462078094,0.4044032692909241,0.4379134476184845,0.5455897986888885,0.5455897986888885,0.5455897986888885,0.4587145760655403,0.4587145760655403,0.4587145760655403,0.7918367346938775,0.7918367346938775,0.7918367346938775
11,0.6026855856180191,0.6756815612316132,0.7534648776054382,0.4526291787624359,0.5074506402015686,0.5658675134181976,0.4689078852534294,0.48209767043590546,0.4920784682035446,0.3664519712328911,0.405190646648407,0.43862761557102203,0.5485116466879845,0.5485116466879845,0.5485116466879845,0.45949832350015635,0.45949832350015635,0.45949832350015635,0.7510204081632652,0.7510204081632652,0.7510204081632652
12,0.6114546954631805,0.6859400570392609,0.7708453685045242,0.4342576116323471,0.4871574193239212,0.5474575012922287,0.47323042899370193,0.48474356532096863,0.49370598793029785,0.36757389456033707,0.4063737243413925,0.4407404735684395,0.5527981810271739,0.5527981810271739,0.5527981810271739,0.4579096309840679,0.4579096309840679,0.4579096309840679,0.710204081632653,0.710204081632653,0.710204081632653
13,0.6205831915140152,0.696105033159256,0.7897553145885468,0.4154107794165611,0.4659641981124878,0.528652548789978,0.47485168278217316,0.48642846941947937,0.49445971846580505,0.36916403472423553,0.40688692033290863,0.44141852110624313,0.5560809373855591,0.5560809373855591,0.5560809373855591,0.4596367165446281,0.4596367165446281,0.4596367165446281,0.6693877551020407,0.6693877551020407,0.6693877551020407
14,0.6302921175956726,0.7091182768344879,0.8060925751924515,0.39618363976478577,0.4457315057516098,0.5066867917776108,0.47591302543878555,0.48746977746486664,0.49544597417116165,0.37145431339740753,0.4072374254465103,0.4416448771953583,0.5586892247200012,0.5586892247200012,0.5586892247200012,0.4636924415826797,0.4636924415826797,0.4636924415826797,0.6285714285714286,0.6285714285714286,0.6285714285714286
15,0.6401660889387131,0.7208290100097656,0.8213662356138229,0.3762608841061592,0.4236709028482437,0.4827621877193451,0.47852060198783875,0.48757606744766235,0.49582696706056595,0.37218882143497467,0.4069287180900574,0.4411563202738762,0.5611399948596953,0.5611399948596953,0.5611399948596953,0.46506058946251866,0.46506058946251866,0.46506058946251866,0.5877551020408163,0.5877551020408163,0.5877551020408163
16,0.6505139321088791,0.7348116040229797,0.835989311337471,0.35579128563404083,0.40189695358276367,0.4572349637746811,0.47988782078027725,0.48898839950561523,0.4958188161253929,0.37188979983329773,0.4066292494535446,0.4405934289097786,0.5627048850059508,0.5627048850059508,0.5627048850059508,0.4644619144499302,0.4644619144499302,0.4644619144499302,0.5469387755102041,0.5469387755102041,0.5469387755102041
17,0.6604263931512833,0.7465659976005554,0.8487268835306168,0.3342566341161728,0.3778538256883621,0.42955975234508514,0.48127803951501846,0.49029338359832764,0.4962588995695114,0.3723968416452408,0.40749284625053406,0.440776027739048,0.5633251346647739,0.5633251346647739,0.5633251346647739,0.46490300372242926,0.46490300372242926,0.46490300372242926,0.5061224489795918,0.5061224489795918,0.5061224489795918
18,0.6713416427373886,0.7578428089618683,0.8621910661458969,0.3123793825507164,0.3526289165019989,0.40118279308080673,0.4826899468898773,0.4904209077358246,0.4972866177558899,0.37307676672935486,0.4083142727613449,0.44134511798620224,0.5651459217071533,0.5651459217071533,0.5651459217071533,0.46446792930364605,0.46446792930364605,0.46446792930364605,0.4653061224489795,0.4653061224489795,0.4653061224489795
19,0.6818110346794128,0.7699719369411469,0.879128634929657,0.28942183405160904,0.3268452286720276,0.37318113446235657,0.48371710628271103,0.4904056638479233,0.49722184240818024,0.3731842711567879,0.4085050970315933,0.44189823418855667,0.5642570942640304,0.5642570942640304,0.5642570942640304,0.4640921980142593,0.4640921980142593,0.4640921980142593,0.42448979591836733,0.42448979591836733,0.42448979591836733
20,0.6922205090522766,0.7808173298835754,0.8934024572372437,0.26558663696050644,0.2995788902044296,0.34277480840682983,0.4840831756591797,0.49128851294517517,0.4971613734960556,0.3730808049440384,0.4084462374448776,0.44218000769615173,0.5643169000744819,0.5643169000744819,0.5643169000744819,0.46508478596806524,0.46508478596806524,0.46508478596806524,0.38367346938775504,0.38367346938775504,0.38367346938775504
21,0.7024821639060974,0.7926041483879089,0.9073296934366226,0.2408510372042656,0.27175000309944153,0.31108447164297104,0.48412129282951355,0.49141547083854675,0.49767517298460007,0.3729705959558487,0.40878427028656006,0.44240351766347885,0.5642790801823139,0.5642790801823139,0.5642790801823139,0.4647944279015064,0.4647944279015064,0.4647944279015064,0.34285714285714286,0.34285714285714286,0.34285714285714286
22,0.7123165130615234,0.8031394183635712,0.9229261577129364,0.2151486650109291,0.24258088320493698,0.2787613645195961,0.4834875017404556,0.49174775183200836,0.4976768121123314,0.37333982437849045,0.4091782122850418,0.44247056543827057,0.5645035833120345,0.5645035833120345,0.5645035833120345,0.4672848857939243,0.4672848857939243,0.4672848857939243,0.30204081632653057,0.30204081632653057,0.30204081632653057
23,0.7232089936733246,0.813563883304596,0.9389741122722626,0.18891989067196846,0.21252279728651047,0.24528301879763603,0.4842231124639511,0.49187758564949036,0.49768733233213425,0.37315742671489716,0.4089525490999222,0.4424240365624428,0.5641048379242419,0.5641048379242419,0.5641048379242419,0.4683561637997627,0.4683561637997627,0.4683561637997627,0.2612244897959183,0.2612244897959183,0.2612244897959183
24,0.7343834787607193,0.826421320438385,0.9534626454114914,0.16186410188674927,0.1821499988436699,0.21015094220638275,0.4847184419631958,0.4920353442430496,0.497560478746891,0.3735552802681923,0.4091408848762512,0.4423844590783119,0.566014613956213,0.566014613956213,0.566014613956213,0.46870341449975966,0.46870341449975966,0.46870341449975966,0.2204081632653061,0.2204081632653061,0.2204081632653061
25,0.7449855655431747,0.8383870422840118,0.9686433523893356,0.13379332050681114,0.150567464530468,0.17396043986082077,0.485811248421669,0.4926130920648575,0.49865738302469254,0.3738515377044678,0.4092017263174057,0.44220711290836334,0.5673222705721854,0.5673222705721854,0.5673222705721854,0.4689057946205139,0.4689057946205139,0.4689057946205139,0.1795918367346938,0.1795918367346938,0.1795918367346938
26,0.7557791918516159,0.8498720526695251,0.98453788459301,0.10488364659249783,0.11794142797589302,0.13662974908947945,0.48635347187519073,0.4927246868610382,0.4992474541068077,0.3740127608180046,0.4094025492668152,0.4425945356488228,0.5672992907464504,0.5672992907464504,0.5672992907464504,0.46889201700687405,0.46889201700687405,0.46889201700687405,0.13877551020408152,0.13877551020408152,0.13877551020408152
27,0.7668176740407944,0.8600450158119202,1.0,0.07511682994663715,0.08424930647015572,0.09795918315649033,0.48662425577640533,0.4929085075855255,0.49886078387498856,0.3740930110216141,0.40944184362888336,0.44288404285907745,0.5685661800205707,0.5685661800205707,0.5685661800205707,0.4691707909107208,0.4691707909107208,0.4691707909107208,0.09795918367346945,0.09795918367346945,0.09795918367346945
28,0.7771691977977753,0.8719879388809204,1.0,0.044409667141735554,0.04982788302004337,0.05714285746216774,0.48680056631565094,0.4932526648044586,0.498311847448349,0.3746893033385277,0.40967266261577606,0.44301368296146393,0.5687236286699772,0.5687236286699772,0.5687236286699772,0.46944949626922605,0.46944949626922605,0.46944949626922605,0.05714285714285716,0.05714285714285716,0.05714285714285716
29,0.788235679268837,0.8830201327800751,1.0,0.012869153637439013,0.014416654594242573,0.016326529905200005,0.48650621622800827,0.49362359941005707,0.498701736330986,0.3749755769968033,0.4096488356590271,0.44320251792669296,0.5698117688298225,0.5698117688298225,0.5698117688298225,0.4693074189126491,0.4693074189126491,0.4693074189126491,0.01632653061224487,0.01632653061224487,0.01632653061224487
30,0.8003904670476913,0.8957638442516327,1.0,0.0,0.0,0.0,0.48698777705430984,0.4933086633682251,0.499135285615921,0.37536588311195374,0.4098252207040787,0.44322893023490906,0.5688022673130035,0.5688022673130035,0.5688022673130035,0.46955144032835955,0.46955144032835955,0.46955144032835955,0.0,0.0,0.0
31,0.8003904670476913,0.8957638442516327,1.0,0.0,0.0,0.0,0.487419456243515,0.49346183240413666,0.4988197609782219,0.37561555951833725,0.40988434851169586,0.44332174956798553,0.5682680934667587,0.5682680934667587,0.5682680934667587,0.46958259418606757,0.46958259418606757,0.46958259418606757,0.0,0.0,0.0
32,0.8003904670476913,0.8957638442516327,1.0,0.0,0.0,0.0,0.4872552827000618,0.49369312822818756,0.4991355761885643,0.3758307099342346,0.41008369624614716,0.4433148056268692,0.568606261909008,0.568606261909008,0.568606261909008,0.4696476608514785,0.4696476608514785,0.4696476608514785,0.0,0.0,0.0
33,0.8003904670476913,0.8957638442516327,1.0,0.0,0.0,0.0,0.48804107308387756,0.49384021759033203,0.49885154515504837,0.3758884072303772,0.4103144705295563,0.4432825371623039,0.5698716945946216,0.5698716945946216,0.5698716945946216,0.46967221722006797,0.46967221722006797,0.46967221722006797,0.0,0.0,0.0
34,0.8003904670476913,0.8957638442516327,1.0,0.0,0.0,0.0,0.48796264827251434,0.494174063205719,0.49885204434394836,0.3759228140115738,0.4103313833475113,0.4433612823486328,0.5697395391762257,0.5697395391762257,0.5697395391762257,0.46974595487117765,0.46974595487117765,0.46974595487117765,0.0,0.0,0.0
35,0.8003904670476913,0.8957638442516327,1.0,0.0,0.0,0.0,0.48812898248434067,0.4940614849328995,0.4993727207183838,0.37592896819114685,0.4103946387767792,0.4433138892054558,0.5702113538980483,0.5702113538980483,0.5702113538980483,0.46969144418835634,0.46969144418835634,0.46969144418835634,0.0,0.0,0.0
36,0.8003904670476913,0.8957638442516327,1.0,0.0,0.0,0.0,0.4881769046187401,0.4941050559282303,0.4991748631000519,0.376000739634037,0.41047152876853943,0.44340647757053375,0.5705759808421135,0.5705759808421135,0.5705759808421135,0.46964608430862426,0.46964608430862426,0.46964608430862426,0.0,0.0,0.0
37,0.8003904670476913,0.8957638442516327,1.0,0.0,0.0,0.0,0.48864132910966873,0.49433733522892,0.49939876049757004,0.3761566951870918,0.4105106145143509,0.4435446336865425,0.5698326922953129,0.5698326922953129,0.5698326922953129,0.4696053341031074,0.4696053341031074,0.4696053341031074,0.0,0.0,0.0
38,0.8003904670476913,0.8957638442516327,1.0,0.0,0.0,0.0,0.48875290900468826,0.4942806214094162,0.49950191378593445,0.3762448579072952,0.410590335726738,0.443529337644577,0.5683947995305061,0.5683947995305061,0.5683947995305061,0.4695814460515976,0.4695814460515976,0.4695814460515976,0.0,0.0,0.0
39,0.8003904670476913,0.8957638442516327,1.0,0.0,0.0,0.0,0.4887331649661064,0.4946012645959854,0.49968546628952026,0.3762456998229027,0.41062362492084503,0.4435679689049721,0.5688298396766185,0.5688298396766185,0.5688298396766185,0.4696229502558708,0.4696229502558708,0.4696229502558708,0.0,0.0,0.0
40,0.8003904670476913,0.8957638442516327,1.0,0.0,0.0,0.0,0.4889943227171898,0.49471332132816315,0.49984706938266754,0.37629204243421555,0.41062287986278534,0.44362667202949524,0.5694917134940624,0.5694917134940624,0.5694917134940624,0.46969677358865736,0.46969677358865736,0.46969677358865736,0.0,0.0,0.0
41,0.8003904670476913,0.8957638442516327,1.0,0.0,0.0,0.0,0.4893483817577362,0.49478679895401,0.4996558353304863,0.376311331987381,0.41068290174007416,0.4436940848827362,0.5691717609763145,0.5691717609763145,0.5691717609763145,0.4696884453296661,0.4696884453296661,0.4696884453296661,0.0,0.0,0.0
42,0.8003904670476913,0.8957638442516327,1.0,0.0,0.0,0.0,0.4894045442342758,0.49498923122882843,0.5000562816858292,0.37634363025426865,0.4107675701379776,0.44375405460596085,0.5690124787390232,0.5690124787390232,0.5690124787390232,0.46985941454768176,0.46985941454768176,0.46985941454768176,0.0,0.0,0.0
43,0.8003904670476913,0.8957638442516327,1.0,0.0,0.0,0.0,0.48955339938402176,0.4948621392250061,0.5000876933336258,0.3763550594449043,0.41082167625427246,0.44373947381973267,0.5694473303854465,0.5694473303854465,0.5694473303854465,0.46993315219879145,0.46993315219879145,0.46993315219879145,0.0,0.0,0.0
44,0.8003904670476913,0.8957638442516327,1.0,0.0,0.0,0.0,0.4901898205280304,0.49534884095191956,0.49985574930906296,0.3763977140188217,0.4108891636133194,0.44374217092990875,0.5685502432286739,0.5685502432286739,0.5685502432286739,0.470040562748909,0.470040562748909,0.470040562748909,0.0,0.0,0.0
45,0.8003904670476913,0.8957638442516327,1.0,0.0,0.0,0.0,0.49018316715955734,0.49544385075569153,0.4999134913086891,0.37641361355781555,0.41096973419189453,0.4437611848115921,0.569009205698967,0.569009205698967,0.569009205698967,0.47012012675404546,0.47012012675404546,0.47012012675404546,0.0,0.0,0.0
46,0.8003904670476913,0.8957638442516327,1.0,0.0,0.0,0.0,0.49037596583366394,0.49595730006694794,0.5000877976417542,0.37643738836050034,0.41104450821876526,0.44376422464847565,0.5694917991757392,0.5694917991757392,0.5694917991757392,0.47021238878369326,0.47021238878369326,0.47021238878369326,0.0,0.0,0.0
47,0.8003904670476913,0.8957638442516327,1.0,0.0,0.0,0.0,0.49069540202617645,0.49524645507335663,0.49969231337308884,0.376509889960289,0.4111264944076538,0.44379978626966476,0.5683227926492691,0.5683227926492691,0.5683227926492691,0.47030423954129214,0.47030423954129214,0.47030423954129214,0.0,0.0,0.0
