stage,parameter,dino_delta,dino_ci_lower,dino_ci_upper,clipscore_delta,clipscore_ci_lower,clipscore_ci_upper,hpsv2_delta,hpsv2_ci_lower,hpsv2_ci_upper,quality_eligible,mean_active_rho,boundary_rate,selected
A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,False
A,0.2,0.0018858565607827139,-0.001105537176095133,0.005228071426581494,-0.0007046055793762207,-0.0026689974665641786,0.001185239583253858,-0.00052154541015625,-0.0012063674926757813,0.0002441482543945311,True,,,False
A,0.25,0.0004896458572312446,-0.0028855001560406093,0.004235429750879136,0.0002517533302307129,-0.001860882580280304,0.0023690188229084017,-0.00051422119140625,-0.0012350540161132813,0.00030033111572265567,True,,,False
A,0.3,0.0017241560080427701,-0.0022322604135106773,0.005886401992519217,-5.0958395004272464e-05,-0.002615000784397125,0.002660054832696914,-0.000537109375,-0.0013806381225585937,0.0004162979125976557,True,,,False
A,0.35,0.002723949414750394,-0.0010203660281684704,0.0068781860678329525,-0.0012943637371063232,-0.003944295853376388,0.001300347208976745,-0.000699462890625,-0.0015869216918945313,0.00022410583496093595,True,,,False
A,0.4,0.003173861532770273,-0.0006063916461013942,0.007299765949216255,-0.0019288873672485352,-0.004733117729425431,0.0008970728516578673,-0.00051483154296875,-0.0015198059082031248,0.0006036605834960935,True,,,False
A,0.45,0.0030950197116577714,-0.0008015924490922994,0.007315175537260988,-0.0015631890296936035,-0.004976524442434311,0.0017165588438510892,-0.00097991943359375,-0.002236328125,0.00036529541015625,True,,,False
A,0.5,0.003006175708599218,-0.0015129836191228798,0.007994527304947966,-0.0015960276126861573,-0.005119399458169937,0.0017657096683979016,-0.0010400390625,-0.002384040832519531,0.00035737609863281233,True,,,False
A,0.55,0.0035193140727259576,-0.0013706480393955581,0.00877771780540574,-0.0019430470466613768,-0.005647506922483444,0.001633176416158676,-0.00098236083984375,-0.0022373504638671876,0.0003033599853515623,True,,,True
A,0.6,0.00437329735981867,-0.001166197046257502,0.010153981536558873,-0.002832809686660767,-0.006348101168870926,0.000574090391397476,-0.00130401611328125,-0.0027768478393554686,0.00020477294921875,False,,,False
A,0.8,0.007847514173517398,0.0017738756513474532,0.013987270499912781,-0.006407707929611206,-0.010971522331237792,-0.0021494000852108016,-0.00231170654296875,-0.004132766723632812,-0.00048644256591796886,False,,,False
A,1.0,0.024653645118948013,0.014730690384821422,0.03530008124278507,-0.00927247405052185,-0.016043435633182525,-0.0024697782099247006,-0.0054229736328125,-0.00854560089111328,-0.002365974426269532,False,,,False
B,0.0,-0.00024460559837652883,-0.0018445766165748978,0.0013827337634954263,-0.0001739358901977539,-0.0013512440025806427,0.0010595773160457609,-0.0001513671875,-0.000667724609375,0.00031494140625,True,0.5899040211836498,0.021333333333333333,False
B,0.05,0.00032642178911392386,-0.0015707587704457896,0.002236528727073178,-0.0004203426837921143,-0.0015176580250263214,0.0006667734384536743,-0.00033599853515625,-0.0008248977661132813,0.00013397979736328114,True,0.6407602819999059,0.042666666666666665,False
B,0.1,0.0013955192009941187,-0.0001798830377276962,0.003021508303129704,-0.00023000121116638185,-0.0013441520929336548,0.0008666106164455413,-0.0004248046875,-0.0008651809692382813,2.449035644531139e-06,True,0.6856164660652478,0.06466666666666666,False
B,0.15,0.0014696624566554483,-0.000428872637792733,0.0035667327272970143,-0.0008114373683929443,-0.0020748755931854247,0.000401112377643585,-0.0003375244140625,-0.0008319244384765625,0.00015320587158203114,True,0.7252495628794032,0.08666666666666668,True
B,0.2,0.0009146110938473334,-0.0009658656225894693,0.0030265935372517363,-0.0011593461036682128,-0.0023922749459743503,0.00011846491694450334,-0.00032196044921875,-0.0008474884033203125,0.0002178955078125,True,0.7599901366631191,0.12,False
